0.03	0.024
0.155	0.043
0.271	0.058
0.396	0.039
0.497	0.063
0.622	0.029
0.731	0.063
0.849	0.058
0.973	0.068
1.082	0.063
1.2	0.053
1.326	0.087
1.431	0.112
1.551	0.131
1.677	0.161
1.786	0.347
1.904	0.586
2.029	0.439
2.14	0.278
2.255	0.171
2.38	0.127
2.506	0.097
2.61	0.063
2.732	0.083
2.857	0.053
2.957	0.083
3.083	0.078
3.207	0.102
3.31	0.117
3.435	0.131
3.561	0.283
3.665	0.376
3.786	0.136
3.912	0.087
4.018	0.068
4.139	0.083
4.263	0.063
4.366	0.087
4.49	0.068
4.615	0.107
4.72	0.136
4.841	0.244
4.968	0.513
5.075	0.566
5.193	0.234
5.318	0.122
5.429	0.073
5.545	0.087
5.67	0.058
5.78	0.112
5.896	0.127
6.021	0.195
6.146	0.278
6.252	0.371
6.374	0.268
6.499	0.171
6.605	0.087
6.725	0.092
6.85	0.073
6.955	0.102
7.076	0.112
7.202	0.151
7.327	0.239
7.427	0.513
7.554	0.645
7.664	0.327
7.78	0.127
7.905	0.107
8.03	0.092
8.131	0.068
8.256	0.087
8.381	0.107
8.482	0.122
8.609	0.161
8.734	0.351
8.839	0.571
8.96	0.503
9.085	0.288
9.195	0.166
9.311	0.127
9.437	0.087
9.546	0.078
9.662	0.097
9.789	0.083
9.897	0.146
10.015	0.229
10.14	0.405
10.265	0.586
10.366	0.488
10.491	0.307
10.618	0.185
10.722	0.102
10.844	0.102
10.969	0.102
11.077	0.117
11.195	0.127
11.32	0.146
11.446	0.347
11.546	0.586
11.672	0.591
11.797	0.469
11.901	0.263
12.024	0.171
12.149	0.127
12.257	0.097
12.375	0.117
12.501	0.122
12.609	0.161
12.728	0.239
12.853	0.434
12.976	0.62
13.079	0.566
13.204	0.263
13.33	0.146
13.434	0.107
13.555	0.107
13.681	0.092
13.787	0.078
13.908	0.127
14.032	0.171
14.142	0.312
14.259	0.542
14.384	0.615
14.495	0.439
14.61	0.229
14.736	0.151
14.861	0.112
14.965	0.097
15.087	0.102
15.213	0.117
15.318	0.107
15.439	0.185
15.565	0.312
15.674	0.689
15.79	0.703
15.916	0.361
16.04	0.151
16.142	0.117
16.267	0.078
16.393	0.092
16.498	0.083
16.62	0.102
16.744	0.136
16.87	0.195
16.971	0.337
17.097	0.518
17.204	0.43
17.323	0.205
17.449	0.131
17.557	0.107
17.674	0.102
17.8	0.102
17.924	0.117
18.026	0.117
18.152	0.205
18.278	0.298
18.382	0.337
18.503	0.293
18.629	0.171
18.738	0.127
18.855	0.097
18.98	0.078
19.089	0.087
19.206	0.078
19.333	0.107
19.44	0.156
19.559	0.332
19.684	0.703
19.794	0.728
19.91	0.478
20.035	0.21
20.161	0.112
20.265	0.092
20.388	0.063
20.513	0.102
20.617	0.127
20.739	0.185
20.864	0.263
20.972	0.439
21.09	0.708
21.216	0.591
21.325	0.273
21.443	0.175
21.568	0.151
21.679	0.141
21.798	0.151
21.919	0.175
22.045	0.283
22.15	0.459
22.272	0.65
22.397	0.835
22.505	0.64
22.625	0.347
22.748	0.2
22.859	0.185
22.974	0.185
23.1	0.195
23.225	0.185
23.331	0.283
23.452	0.43
23.576	0.61
23.685	0.684
23.803	0.664
23.929	0.645
24.039	0.498
24.155	0.322
24.28	0.249
24.405	0.229
24.507	0.175
24.633	0.224
24.758	0.283
24.865	0.459
24.984	0.752
25.109	0.679
25.219	0.669
25.335	0.474
25.462	0.249
25.585	0.205
25.688	0.185
25.813	0.195
25.938	0.234
26.041	0.283
26.164	0.469
26.29	0.796
26.398	0.811
26.515	0.791
26.642	0.498
26.752	0.307
26.868	0.224
26.993	0.18
27.119	0.161
27.223	0.171
27.344	0.166
27.47	0.273
27.578	0.395
27.697	0.562
27.822	0.625
27.932	0.498
28.048	0.327
28.173	0.268
28.299	0.18
28.403	0.19
28.525	0.195
28.65	0.229
28.758	0.332
28.879	0.493
29.002	0.645
29.128	0.689
29.228	0.503
29.354	0.317
29.479	0.229
29.579	0.18
29.705	0.151
29.83	0.156
29.937	0.171
30.057	0.268
30.183	0.386
30.294	0.591
30.408	0.645
30.534	0.454
30.658	0.293
30.76	0.175
30.885	0.078
31.01	0.053
31.112	0.063
31.237	0.068
31.363	0.078
31.463	0.058
31.589	0.043
31.699	0.058
31.815	0.039
31.94	0.053
32.065	0.029
32.167	0.058
32.292	0.058
32.4	0.068
32.518	0.063
32.643	0.043
32.749	0.063
32.869	0.048
32.995	0.068
33.099	0.063
33.22	0.068
33.347	0.063
33.45	0.058
33.573	0.039
33.698	0.058
33.799	0.039
33.924	0.058
34.049	0.039
34.15	0.058
34.275	0.048
34.4	0.068
34.503	0.063
34.627	0.053
34.737	0.063
34.853	0.043
34.979	0.073
35.087	0.068
35.204	0.058
35.33	0.039
35.438	0.058
35.557	0.039
35.682	0.063
35.788	0.034
35.908	0.068
36.033	0.063
36.135	0.068
36.259	0.063
36.385	0.043
36.485	0.068
36.61	0.043
36.735	0.073
36.837	0.073
36.963	0.043
37.073	0.053
37.189	0.063
37.314	0.043
37.424	0.063
37.541	0.039
37.666	0.063
37.774	0.039
37.892	0.063
38.018	0.063
38.126	0.068
38.243	0.063
38.369	0.048
38.477	0.068
38.596	0.068
38.721	0.073
38.826	0.068
38.947	0.063
39.072	0.043
39.173	0.063
39.298	0.048
39.424	0.058
39.524	0.034
39.649	0.073
39.761	0.058
39.876	0.068
40.002	0.063
40.112	0.043
40.228	0.063
40.353	0.063
40.462	0.068
40.579	0.068
40.704	0.073
40.812	0.048
40.931	0.058
41.056	0.039
41.163	0.078
41.282	0.039
41.408	0.063
41.513	0.039
41.633	0.063
41.759	0.063
41.863	0.068
41.985	0.063
42.11	0.043
42.211	0.063
42.337	0.073
42.461	0.068
42.563	0.068
42.688	0.063
42.798	0.053
42.915	0.058
43.039	0.043
43.149	0.063
43.266	0.039
43.392	0.063
43.501	0.034
43.617	0.063
43.743	0.063
43.851	0.063
43.969	0.063
44.094	0.043
44.199	0.068
44.321	0.068
44.446	0.068
44.547	0.068
44.672	0.058
44.798	0.043
44.903	0.058
45.023	0.039
45.149	0.058
45.249	0.039
45.376	0.058
45.486	0.063
45.601	0.063
45.727	0.068
45.852	0.043
45.953	0.068
46.082	0.073
46.186	0.073
46.307	0.073
46.433	0.063
46.533	0.048
46.659	0.053
46.784	0.039
46.884	0.058
47.011	0.043
47.134	0.063
47.237	0.058
47.362	0.053
